employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
City of Kelowna,information technology (IT) business analyst,Kelowna,BC,$52.69 hourly,"June 05, 2026",CivicJobs.ca,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49658362?source=searchresults,49658362
Infoblox Canada Ltd.,business systems analyst,Burnaby,BC,$52.09 hourly,"June 04, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49655551?source=searchresults,49655551
Houle Electric Limited,business process analyst,Burnaby,BC,"$85,000.00 annually","June 04, 2026",Talent.com,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49741942?source=searchresults,49741942
Capital Regional District,business continuity analyst,Victoria,BC,$48.89 hourly,"June 02, 2026",CivicJobs.ca,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49637069?source=searchresults,49637069
City of Surrey,"business analyst, informatics",Surrey,BC,"$96,214.00 annually","June 02, 2026",CivicJobs.ca,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49637076?source=searchresults,49637076
Mewar Infotech Limited,functional consultant - information systems,Vancouver,BC,$40.00 to $42.00 hourly (to be negotiated),"May 26, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49589921?source=searchresults,49589921
National Grating Inc.,information technology (IT) business analyst,Westside,BC,$45.50 hourly,"May 22, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49566873?source=searchresults,49566873
Newmont Corporation,IT (information technology) business analyst,Vancouver,BC,"$113,600.00 to $166,650.00 annually (to be negotiated)","May 01, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49434089?source=searchresults,49434089
Pacific Coast Distribution,business systems analyst,Langley,BC,$43.27 hourly,"April 30, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49426736?source=searchresults,49426736
Lumi HVAC Ltd.,business systems analyst,Richmond,BC,"$75,000.00 annually","March 19, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49565704?source=searchresults,49565704
Escape Trailer Industries LP,business systems specialist - computer systems,Chilliwack,BC,$37.00 hourly,"February 24, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49000856?source=searchresults,49000856
AMC Consultants,information systems manager,Vancouver,BC,"$130,000.00 to $200,000.00 annually","June 16, 2026",CareerBeacon,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49727256?source=searchresults,49727256
Roomvu,software development manager,Vancouver,BC,"$100,000.00 to $120,000.00 annually","June 12, 2026",indeed.com,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49706001?source=searchresults,49706001
Best Western Plus - Baker Street Inn,cloud operations manager,Nelson,BC,$32.00 to $34.00 hourly,"June 12, 2026",indeed.com,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49705552?source=searchresults,49705552
Enterprisemarketdesk Inc.,information systems manager,Vancouver,BC,$64.00 to $99.00 hourly (to be negotiated),"June 12, 2026",Job Bank,True,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49700759?source=searchresults,49700759
Relanto Inc,computerized information systems manager,Richmond,BC,$72.12 hourly,"March 02, 2026",Job Bank,True,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49029542?source=searchresults,49029542
Lax Kw'alaams Band,technical support specialist – information technology (IT),Lax Kw'alaams,BC,$43.96 hourly,"June 19, 2026",Job Bank,True,IT support (NOC 22221),https://www.jobbank.gc.ca/jobsearch/jobposting/49753697?source=searchresults,49753697
Turtle Bay IT Services,information technology (IT) support technician,Kelowna,BC,$23.00 to $27.00 hourly (to be negotiated),"June 05, 2026",Job Bank,True,IT support (NOC 22221),https://www.jobbank.gc.ca/jobsearch/jobposting/49658259?source=searchresults,49658259
Lax Kw'alaams Band,technical support specialist – information technology (IT),Lax Kw'alaams,BC,$43.96 hourly,"June 04, 2026",Job Bank,True,IT support (NOC 22221),https://www.jobbank.gc.ca/jobsearch/jobposting/49654471?source=searchresults,49654471
Nonrel Technologies Ltd.,cybersecurity analyst,Vancouver,BC,$46.00 hourly,"June 11, 2026",Job Bank,True,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49699432?source=searchresults,49699432
BC Transit,systems security analyst,Victoria,BC,"$8,281.00 monthly","June 08, 2026",CivicJobs.ca,False,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49673200?source=searchresults,49673200
Employment Hero,informatics security analyst,Vancouver,BC,"$70,000.00 to $90,000.00 annually","June 03, 2026",CareerBeacon,False,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49740834?source=searchresults,49740834
